Vardas                  Pavarde                    ND1       ND2       ND3       ND4       ND5       ND6       ND7       Egz.
Jonas                   Jonaitis                   8         5         8         3         3         7         3         3
Petras                  Ramanauskas                6         6         5         5         1         8         4         7
Lina                    Jonaityte                  8         3         2         7         7         9         5         5
Agne                 	Ramanauskaite              7         9         8         9         6         8         8         1
Ignas                 	Jonaitis                   7         4         6         5         8         2         1         9
Justas                  Petraitis                  10        4        10        10         2         3        10         2
Karolina                Kazlauskaite               8         4         5         2         8         9         2         9
Auguste                 Kazlauskaite               3         5         2         1         3         8         3         1
Tomas                 	Antanaitis                 5         4         9         5         2         5         3         7
Aiste               	Zukauskaite                9         2         6         5         7         1         2         4
